station,station_name,day,doy,highc,lowc
IA0200,AMES-8-WSW,2020-01-01,1,6.7,-6.1
IA0200,AMES-8-WSW,2020-01-02,2,6.7,0.6
IA0200,AMES-8-WSW,2020-01-03,3,2.2,-1.1
IA0200,AMES-8-WSW,2020-01-04,4,2.2,-6.7
IA0200,AMES-8-WSW,2020-01-05,5,5,-6.7
IA0200,AMES-8-WSW,2020-01-06,6,3.9,-4.4
IA0200,AMES-8-WSW,2020-01-07,7,2.2,-3.9
IA0200,AMES-8-WSW,2020-01-08,8,2.2,-12.2
IA0200,AMES-8-WSW,2020-01-09,9,12.2,-5
IA0200,AMES-8-WSW,2020-01-10,10,7.8,-5.6
IA0200,AMES-8-WSW,2020-01-11,11,7.8,-13.9
IA0200,AMES-8-WSW,2020-01-12,12,-3.9,-12.8
IA0200,AMES-8-WSW,2020-01-13,13,-2.2,-4.4
IA0200,AMES-8-WSW,2020-01-14,14,0.6,-6.7
IA0200,AMES-8-WSW,2020-01-15,15,-3.9,-10.6
IA0200,AMES-8-WSW,2020-01-16,16,-6.7,-21.1
IA0200,AMES-8-WSW,2020-01-17,17,-6.1,-16.1
IA0200,AMES-8-WSW,2020-01-18,18,-1.7,-16.7
IA0200,AMES-8-WSW,2020-01-19,19,-16.1,-20.6
IA0200,AMES-8-WSW,2020-01-20,20,-12.8,-17.8
IA0200,AMES-8-WSW,2020-01-21,21,-7.8,-22.8
IA0200,AMES-8-WSW,2020-01-22,22,0,-8.9
IA0200,AMES-8-WSW,2020-01-23,23,0,-1.1
IA0200,AMES-8-WSW,2020-01-24,24,0,-2.2
IA0200,AMES-8-WSW,2020-01-25,25,-1.1,-2.8
IA0200,AMES-8-WSW,2020-01-26,26,-1.1,-8.9
IA0200,AMES-8-WSW,2020-01-27,27,-1.1,-5
IA0200,AMES-8-WSW,2020-01-28,28,-1.7,-7.2
IA0200,AMES-8-WSW,2020-01-29,29,-5.6,-8.9
IA0200,AMES-8-WSW,2020-01-30,30,-2.2,-6.7
IA0200,AMES-8-WSW,2020-01-31,31,1.1,-2.8
IA0200,AMES-8-WSW,2020-02-01,32,2.8,-1.7
IA0200,AMES-8-WSW,2020-02-02,33,7.8,1.7
IA0200,AMES-8-WSW,2020-02-03,34,6.7,-2.8
IA0200,AMES-8-WSW,2020-02-04,35,-0.6,-7.2
IA0200,AMES-8-WSW,2020-02-05,36,-0.6,-10
IA0200,AMES-8-WSW,2020-02-06,37,-1.7,-11.7
IA0200,AMES-8-WSW,2020-02-07,38,-0.6,-11.7
IA0200,AMES-8-WSW,2020-02-08,39,-4.4,-16.1
IA0200,AMES-8-WSW,2020-02-09,40,2.8,-16.1
IA0200,AMES-8-WSW,2020-02-10,41,1.7,-12.2
IA0200,AMES-8-WSW,2020-02-11,42,1.7,-12.2
IA0200,AMES-8-WSW,2020-02-12,43,1.7,-5
IA0200,AMES-8-WSW,2020-02-13,44,1.1,-24.4
IA0200,AMES-8-WSW,2020-02-14,45,-15.6,-23.9
IA0200,AMES-8-WSW,2020-02-15,46,-5,-20.6
IA0200,AMES-8-WSW,2020-02-16,47,5.6,-6.7
IA0200,AMES-8-WSW,2020-02-17,48,3.9,-0.6
IA0200,AMES-8-WSW,2020-02-18,49,1.7,-5.6
IA0200,AMES-8-WSW,2020-02-19,50,0,-11.7
IA0200,AMES-8-WSW,2020-02-20,51,-6.7,-18.9
IA0200,AMES-8-WSW,2020-02-21,52,5.6,-10
IA0200,AMES-8-WSW,2020-02-22,53,10,-3.3
IA0200,AMES-8-WSW,2020-02-23,54,13.9,-0.6
IA0200,AMES-8-WSW,2020-02-24,55,10,-1.7
IA0200,AMES-8-WSW,2020-02-25,56,3.9,-1.1
IA0200,AMES-8-WSW,2020-02-26,57,0.6,-6.7
IA0200,AMES-8-WSW,2020-02-27,58,0.6,-3.9
IA0200,AMES-8-WSW,2020-02-28,59,0,-2.8
IA0200,AMES-8-WSW,2020-02-29,60,10,-7.2
IA0200,AMES-8-WSW,2020-03-01,61,13.3,0
IA0200,AMES-8-WSW,2020-03-02,62,7.2,-1.1
IA0200,AMES-8-WSW,2020-03-03,63,11.1,-0.6
IA0200,AMES-8-WSW,2020-03-04,64,12.2,-2.2
IA0200,AMES-8-WSW,2020-03-05,65,12.2,3.3
IA0200,AMES-8-WSW,2020-03-06,66,7.2,-3.9
IA0200,AMES-8-WSW,2020-03-07,67,17.8,-3.9
IA0200,AMES-8-WSW,2020-03-08,68,20.6,6.1
IA0200,AMES-8-WSW,2020-03-09,69,21.1,0
IA0200,AMES-8-WSW,2020-03-10,70,8.3,-4.4
IA0200,AMES-8-WSW,2020-03-11,71,11.7,2.2
IA0200,AMES-8-WSW,2020-03-12,72,16.1,4.4
IA0200,AMES-8-WSW,2020-03-13,73,11.1,-3.3
IA0200,AMES-8-WSW,2020-03-14,74,7.2,-2.8
IA0200,AMES-8-WSW,2020-03-15,75,3.9,-6.1
IA0200,AMES-8-WSW,2020-03-16,76,6.1,0
IA0200,AMES-8-WSW,2020-03-17,77,7.2,-3.9
IA0200,AMES-8-WSW,2020-03-18,78,7.8,3.9
IA0200,AMES-8-WSW,2020-03-19,79,10.6,7.2
IA0200,AMES-8-WSW,2020-03-20,80,10.6,-6.7
IA0200,AMES-8-WSW,2020-03-21,81,5.6,-3.3
IA0200,AMES-8-WSW,2020-03-22,82,5,-1.1
IA0200,AMES-8-WSW,2020-03-23,83,7.2,0
IA0200,AMES-8-WSW,2020-03-24,84,8.3,3.3
IA0200,AMES-8-WSW,2020-03-25,85,11.1,2.2
IA0200,AMES-8-WSW,2020-03-26,86,11.1,4.4
IA0200,AMES-8-WSW,2020-03-27,87,12.2,4.4
IA0200,AMES-8-WSW,2020-03-28,88,13.9,7.2
IA0200,AMES-8-WSW,2020-03-29,89,16.7,-1.7
IA0200,AMES-8-WSW,2020-03-30,90,16.1,-0.6
IA0200,AMES-8-WSW,2020-03-31,91,16.1,1.1
IA0200,AMES-8-WSW,2020-04-01,92,16.1,1.1
IA0200,AMES-8-WSW,2020-04-02,93,17.2,1.7
IA0200,AMES-8-WSW,2020-04-03,94,16.1,-2.8
IA0200,AMES-8-WSW,2020-04-04,95,6.7,-5.6
IA0200,AMES-8-WSW,2020-04-05,96,15.6,-1.7
IA0200,AMES-8-WSW,2020-04-06,97,17.2,5.6
IA0200,AMES-8-WSW,2020-04-07,98,27.2,12.2
IA0200,AMES-8-WSW,2020-04-08,99,27.2,10
IA0200,AMES-8-WSW,2020-04-09,100,12.8,-2.2
IA0200,AMES-8-WSW,2020-04-10,101,11.1,-5.6
IA0200,AMES-8-WSW,2020-04-11,102,11.1,2.8
IA0200,AMES-8-WSW,2020-04-12,103,9.4,0
IA0200,AMES-8-WSW,2020-04-13,104,4.4,-5.6
IA0200,AMES-8-WSW,2020-04-14,105,3.9,-6.1
IA0200,AMES-8-WSW,2020-04-15,106,3.9,-9.4
IA0200,AMES-8-WSW,2020-04-16,107,4.4,-9.4
IA0200,AMES-8-WSW,2020-04-17,108,8.3,-9.4
IA0200,AMES-8-WSW,2020-04-18,109,18.9,1.1
IA0200,AMES-8-WSW,2020-04-19,110,20,4.4
IA0200,AMES-8-WSW,2020-04-20,111,18.9,2.8
IA0200,AMES-8-WSW,2020-04-21,112,19.4,0.6
IA0200,AMES-8-WSW,2020-04-22,113,25,7.8
IA0200,AMES-8-WSW,2020-04-23,114,24.4,7.2
IA0200,AMES-8-WSW,2020-04-24,115,19.4,9.4
IA0200,AMES-8-WSW,2020-04-25,116,18.9,5.6
IA0200,AMES-8-WSW,2020-04-26,117,20.6,6.1
IA0200,AMES-8-WSW,2020-04-27,118,25.6,9.4
IA0200,AMES-8-WSW,2020-04-28,119,26.1,11.7
IA0200,AMES-8-WSW,2020-04-29,120,17.2,7.8
IA0200,AMES-8-WSW,2020-04-30,121,20.6,6.7
IA0200,AMES-8-WSW,2020-05-01,122,27.2,8.9
IA0200,AMES-8-WSW,2020-05-02,123,26.7,13.3
IA0200,AMES-8-WSW,2020-05-03,124,25,10
IA0200,AMES-8-WSW,2020-05-04,125,23.9,9.4
IA0200,AMES-8-WSW,2020-05-05,126,12.2,6.1
IA0200,AMES-8-WSW,2020-05-06,127,15,5.6
IA0200,AMES-8-WSW,2020-05-07,128,16.7,5.6
IA0200,AMES-8-WSW,2020-05-08,129,16.1,2.2
IA0200,AMES-8-WSW,2020-05-09,130,19.4,0
IA0200,AMES-8-WSW,2020-05-10,131,17.8,3.9
IA0200,AMES-8-WSW,2020-05-11,132,13.3,5
IA0200,AMES-8-WSW,2020-05-12,133,14.4,3.3
IA0200,AMES-8-WSW,2020-05-13,134,15.6,5.6
IA0200,AMES-8-WSW,2020-05-14,135,17.2,11.1
