depth,rot_trt,samp_time,estimate,std.error,df,statistic,p.value
0-15cm,2y,beg,192.2743055555543,78.45553140968507,90.00623052962709,2.450742504712914,0.016189269484713307
15-30cm,2y,beg,113.4785353535355,78.45553140968416,90.00623052959479,1.446405795927453,0.15153693102942764
30-45cm,2y,beg,111.86079545454554,78.45553140968407,90.00623052959479,1.4257859636489332,0.15738918510365513
45-60cm,2y,beg,96.94602272727275,78.45553140968389,90.00623052959588,1.2356811684957443,0.21979254509124194
0-15cm,4y,beg,443.73421717171715,78.45553140968393,90.00623052959644,5.655869117176691,1.8126234893373962e-7
15-30cm,4y,beg,163.23390151515156,78.45553140968387,90.00623052959479,2.0805913691765956,0.04031319569727969
30-45cm,4y,beg,112.2159090909091,78.45553140968399,90.00623052959479,1.4303122682954381,0.15608984913597485
45-60cm,4y,beg,62.263257575757706,78.45553140968393,90.00623052959644,0.7936120813538001,0.42950856224136935
0-15cm,2y,end,505.83964646464665,78.45553140968359,90.00623052959753,6.447469507576518,5.532146739283388e-9
15-30cm,2y,end,276.59406565656553,78.45553140968389,90.00623052959534,3.5254883968885475,6.671048934341409e-4
30-45cm,2y,end,191.28787878787867,78.4555314096839,90.00623052959479,2.4381694362504525,0.016726240450198132
45-60cm,2y,end,99.11616161616168,78.4555314096838,90.00623052959534,1.263341919113274,0.20972900385157067
0-15cm,4y,end,321.4567550505049,78.45553140968389,90.00623052959588,4.097311550563623,9.126952329075503e-5
15-30cm,4y,end,377.354271885522,84.99241312601431,90.78154924760534,4.4398583121300055,2.529017961206372e-5
30-45cm,4y,end,229.60069444444454,84.99241312601428,90.78154924760757,2.7014257626033786,0.008238396490622685
45-60cm,4y,end,164.37815656565652,84.99241312601424,90.78154924760534,1.934033292147392,0.05622383421723753
